iter	Passed	Remaining
840	13619	2574
841	13635	2558
842	13652	2542
843	13668	2526
844	13684	2510
845	13700	2494
846	13716	2477
847	13731	2461
848	13747	2445
849	13763	2428
850	13779	2412
851	13799	2397
852	13815	2380
853	13830	2364
854	13847	2348
855	13865	2332
856	13883	2316
857	13903	2300
858	13918	2284
859	13934	2268
860	13949	2252
861	13966	2235
862	13982	2219
863	13998	2203
864	14014	2187
865	14029	2170
866	14044	2154
867	14060	2138
868	14078	2122
869	14097	2106
870	14116	2090
871	14133	2074
872	14152	2058
873	14169	2042
874	14186	2026
875	14202	2010
876	14221	1994
877	14236	1978
878	14252	1962
879	14268	1945
880	14284	1929
881	14301	1913
882	14317	1897
883	14333	1880
884	14349	1864
885	14364	1848
886	14380	1831
887	14396	1815
888	14411	1799
889	14426	1782
890	14440	1766
891	14456	1750
892	14472	1734
893	14486	1717
894	14504	1701
895	14519	1685
896	14535	1669
897	14551	1652
898	14567	1636
899	14583	1620
900	14601	1604
901	14622	1588
902	14639	1572
903	14657	1556
904	14673	1540
905	14687	1523
906	14702	1507
907	14718	1491
908	14733	1474
909	14749	1458
910	14764	1442
911	14779	1426
912	14793	1409
913	14807	1393
914	14823	1377
915	14838	1360
916	14853	1344
917	14868	1328
918	14884	1311
919	14901	1295
920	14919	1279
921	14936	1263
922	14952	1247
923	14971	1231
924	14988	1215
925	15006	1199
926	15023	1183
927	15045	1167
928	15063	1151
929	15078	1134
930	15101	1119
931	15119	1103
932	15135	1086
933	15151	1070
934	15165	1054
935	15179	1037
936	15195	1021
937	15212	1005
938	15229	989
939	15246	973
940	15263	956
941	15280	940
942	15296	924
943	15314	908
944	15331	892
945	15347	876
946	15363	859
947	15379	843
948	15398	827
949	15415	811
950	15432	795
951	15448	778
952	15462	762
953	15478	746
954	15494	730
955	15509	713
956	15525	697
957	15543	681
958	15557	665
959	15574	648
960	15589	632
961	15605	616
962	15621	600
963	15637	583
964	15652	567
965	15667	551
966	15683	535
967	15698	518
968	15714	502
969	15730	486
970	15745	470
971	15760	454
972	15777	437
973	15793	421
974	15810	405
975	15827	389
976	15843	372
977	15860	356
978	15877	340
979	15893	324
980	15909	308
981	15924	291
982	15941	275
983	15957	259
984	15973	243
985	15986	226
986	16002	210
987	16018	194
988	16033	178
989	16048	162
990	16063	145
991	16078	129
992	16094	113
993	16110	97
994	16127	81
995	16144	64
996	16165	48
997	16181	32
998	16199	16
999	16215	0
