iter	MAE
124	0.09751705219
125	0.09700766247
126	0.09637754569
127	0.09582949454
128	0.09524772791
129	0.09458348163
130	0.09412398177
131	0.09357433428
132	0.09303774603
133	0.09252071538
134	0.0920813176
135	0.09162782165
136	0.09114186119
137	0.09074824893
138	0.0902996784
139	0.08991312173
140	0.08952555708
141	0.08906900207
142	0.08868374098
143	0.0883206861
144	0.08796550912
145	0.08763491301
146	0.08725860826
147	0.08681163198
148	0.08633533932
149	0.08598684625
150	0.08563841744
151	0.08534049287
152	0.08500759192
153	0.08466171458
154	0.08440058748
155	0.08404148552
156	0.08375520044
157	0.0834611559
158	0.08316702513
159	0.08292673425
160	0.08260198245
161	0.08231259219
162	0.08187430386
163	0.08168638444
164	0.08142806244
165	0.08110584603
166	0.08076220201
167	0.08049479368
168	0.08023441547
169	0.0800330406
170	0.0797361287
171	0.07950072563
172	0.07927074235
173	0.0790432394
174	0.07865996806
175	0.07850504388
176	0.07828225848
177	0.07810064079
178	0.07776926887
179	0.07751453917
180	0.0773019915
181	0.07702761182
182	0.07683425733
183	0.0766208601
184	0.0764714924
185	0.07627186928
186	0.07610542634
187	0.07573262161
188	0.07544213318
189	0.07530767754
190	0.07506231566
191	0.07470002312
192	0.07452716451
193	0.07430386794
194	0.07410749158
195	0.07377871523
196	0.0736414073
197	0.07334248545
198	0.07311306869
199	0.0729349889
200	0.07275624217
201	0.07265863962
202	0.07255863898
203	0.0723386612
204	0.07217017389
205	0.07201329552
206	0.07191318929
207	0.07163465322
208	0.07136839909
209	0.07111202061
210	0.0709165536
211	0.07067584755
212	0.07052021496
213	0.0703558477
214	0.07019698507
215	0.06997276502
216	0.06986395713
217	0.06973001253
218	0.06951560541
219	0.0693916341
220	0.06926877188
221	0.06919555098
222	0.06900381942
223	0.06890269856
224	0.06867021334
225	0.06854123731
226	0.06846179368
227	0.06837718322
228	0.06830106928
229	0.06815679604
230	0.06799124617
231	0.06786237278
232	0.06777869691
233	0.06769233525
234	0.06742949837
235	0.06733503367
236	0.06724429812
237	0.06711284916
238	0.06704649553
239	0.06691171189
240	0.06666101257
241	0.0665768904
242	0.06651764676
243	0.06641838387
244	0.06632251067
245	0.06613378749
246	0.06594294905
247	0.06580471142
248	0.06570661479
249	0.06551112866
250	0.0653117168
251	0.06518152798
252	0.06505806733
253	0.06494713408
254	0.06485195011
255	0.06468401267
256	0.06461413674
257	0.06453700652
258	0.06437481548
259	0.06431549288
260	0.06418728009
261	0.06410700113
262	0.06396478795
263	0.0638858027
264	0.0637955207
265	0.06374649508
266	0.06361787858
267	0.06355945598
268	0.06347191311
269	0.06340700492
270	0.06327420142
271	0.06313251691
272	0.06300697689
273	0.06294868314
274	0.06288819401
275	0.06277785142
276	0.06266332446
277	0.06249393685
278	0.06242429001
279	0.06230252836
280	0.06224712491
281	0.06211312684
282	0.06197967462
283	0.06183385541
284	0.0617322543
285	0.06168735211
286	0.0615394519
287	0.06150341117
288	0.06145415094
289	0.06132117687
290	0.06123581416
291	0.0611439533
292	0.0611107318
293	0.06102414554
294	0.060984892
295	0.06091816039
296	0.0607916062
297	0.06067922549
298	0.06062135693
299	0.06049421911
300	0.06045368443
301	0.06033491079
302	0.06028195173
303	0.06018525525
304	0.06012026053
305	0.06003199103
306	0.0599661921
307	0.05984735185
308	0.05981560176
309	0.05976896828
310	0.0596414936
311	0.05957415004
312	0.05946891063
313	0.05938220278
314	0.0592933866
315	0.0591715326
316	0.05911810609
317	0.05899669998
318	0.05896676175
319	0.05884827811
320	0.05881187373
321	0.05869793468
322	0.05860308283
323	0.0585577059
324	0.05848528448
325	0.05833635449
326	0.05830537293
327	0.05817673799
328	0.05814101828
329	0.05810575718
330	0.05805750954
331	0.05798207756
332	0.05790212461
333	0.05783988235
334	0.05774201025
335	0.05770235285
336	0.05766511295
337	0.05754559903
338	0.05745248942
339	0.0573639507
340	0.0572930166
341	0.05727297379
342	0.05717329096
343	0.05711884125
344	0.05701802071
345	0.05693479018
346	0.05693279065
347	0.05690620517
348	0.05680209349
349	0.05674465355
350	0.05667231147
351	0.05663538672
352	0.0566035221
353	0.05651304589
354	0.05641665462
355	0.05639126351
356	0.05629020132
357	0.05620112908
358	0.05611440523
359	0.05608038354
360	0.05599241347
361	0.05593279257
362	0.05587960083
363	0.05582257424
364	0.05579465841
365	0.05570149069
366	0.05562516941
367	0.05556035806
368	0.05550624118
369	0.05542331609
370	0.05535432872
371	0.0552992714
372	0.05522737409
373	0.05515060809
374	0.05506737243
375	0.05498964167
376	0.05495749334
377	0.0548912454
378	0.0548244851
379	0.05477542429
380	0.05471027526
381	0.05464831353
382	0.0545705524
383	0.05453500566
384	0.05446075671
385	0.0544442742
386	0.05437990209
387	0.05431236051
388	0.05423458181
389	0.05417744528
390	0.05410920453
391	0.05405115667
392	0.05400123617
393	0.05395058347
394	0.05390315746
395	0.0538503019
396	0.05379866383
397	0.05375211838
398	0.05368934061
399	0.05364369716
400	0.05360407088
401	0.05355455698
402	0.05349326436
403	0.05347399881
404	0.05342989891
405	0.05338353957
406	0.05332317309
407	0.05326693853
408	0.05322583308
409	0.05318364612
410	0.05314047815
411	0.05308322347
412	0.05304798764
413	0.05301633735
414	0.05298106248
415	0.05296147344
416	0.05291810572
417	0.05289040778
418	0.05284536224
419	0.05281059358
420	0.05277441467
421	0.05273333141
422	0.05269419723
423	0.0526496408
424	0.05261726798
425	0.05258154029
426	0.05254490074
427	0.05249956695
428	0.05244908775
429	0.05241077005
430	0.05238617048
431	0.05235242266
432	0.0523034173
433	0.05227174145
434	0.05224282024
435	0.05218890604
436	0.05214216271
437	0.05211804383
438	0.05208719162
439	0.05207113068
440	0.05202512308
441	0.05199997697
442	0.0519708519
443	0.05194353388
444	0.05190408915
445	0.05188622196
446	0.05186026617
447	0.05183300471
448	0.05180647048
449	0.05178409691
450	0.0517524197
451	0.05172712833
452	0.0516880413
453	0.05165300891
454	0.05163140982
455	0.05158370435
456	0.05156529561
457	0.05154407872
458	0.0515050046
459	0.05147247103
460	0.05145600976
461	0.05143684413
462	0.0514130566
463	0.05138489742
464	0.05136045106
465	0.05133769648
466	0.05131578098
467	0.05129974779
468	0.05127915467
469	0.05126104884
470	0.05121602146
471	0.0511852575
472	0.05116601434
473	0.0511344013
474	0.05111230667
475	0.05110057484
476	0.05107434193
477	0.05105170657
478	0.05103294549
479	0.05099531022
480	0.05096285959
481	0.05093543639
482	0.05091762091
483	0.05087948212
484	0.05086457659
485	0.05083239155
486	0.05081102205
487	0.05078332
488	0.05076275557
489	0.05074387381
490	0.0507190579
491	0.05070900322
492	0.05067798424
493	0.05065840529
494	0.05062203598
495	0.0506013189
496	0.05055931192
497	0.05053447399
498	0.05051159777
499	0.05049207406
500	0.05047789218
501	0.05045383824
502	0.05042179755
503	0.05038540642
504	0.05037245026
505	0.05033315776
506	0.05031749875
507	0.05028221593
508	0.05026370146
509	0.05024717612
510	0.05022854122
511	0.05020952471
512	0.0501994519
513	0.05018138503
514	0.05016059334
515	0.05012870094
516	0.0500979896
517	0.05008341683
518	0.05006808274
519	0.05004421857
520	0.05002009761
521	0.0500077721
522	0.04997591141
523	0.04995939298
524	0.04993964691
525	0.04990648432
526	0.04988559717
527	0.04987016623
528	0.04984091553
529	0.04982912373
530	0.04981558268
531	0.04980233826
532	0.04977263981
533	0.04974832527
534	0.04972706208
535	0.0497104453
536	0.04969169299
537	0.04967512192
538	0.04965515928
539	0.04964010775
540	0.0496151086
541	0.0496051644
542	0.04959694463
543	0.04956280567
544	0.04954684355
545	0.04953556384
546	0.0494999077
547	0.04948806006
548	0.04946182414
549	0.04942902817
550	0.04941748258
551	0.04940257984
552	0.04937590559
553	0.04935255075
554	0.04933841403
555	0.04931069898
556	0.04928833439
557	0.04927505784
558	0.04924726186
559	0.04923939896
560	0.04922513474
561	0.04919647646
562	0.0491831884
563	0.04916276961
564	0.04914635589
565	0.04913670074
566	0.04911194243
567	0.04910115179
568	0.04909458564
569	0.04906581969
570	0.04903926137
571	0.04901220187
572	0.04900256831
573	0.04898863935
574	0.04897878737
575	0.04896973675
576	0.04894535275
577	0.04893597336
578	0.04892463152
579	0.04891138435
580	0.04888978644
581	0.04886096574
582	0.04884457811
583	0.04883276263
584	0.04881196837
585	0.04880014025
586	0.04878035046
587	0.04875902918
588	0.04873538109
589	0.04871778028
590	0.0486934276
591	0.0486820714
592	0.04866771709
593	0.04865671461
594	0.04864680149
595	0.04863742393
596	0.04862692835
597	0.04861587341
598	0.04860788961
599	0.04859365954
600	0.04857494295
601	0.04855289137
602	0.04853238395
603	0.04852384894
604	0.04851029711
605	0.04849877127
606	0.04848809789
607	0.04846858346
608	0.04845536777
609	0.04844557682
610	0.04843720811
611	0.04841667451
612	0.04840628276
613	0.04838576053
614	0.04837587283
615	0.04835500365
616	0.0483287887
617	0.04831148554
618	0.04829704152
619	0.04828563308
620	0.0482789395
621	0.0482604251
622	0.04824171258
623	0.04823307732
624	0.04822321355
625	0.04821354684
626	0.04819165478
627	0.04818162199
628	0.0481703801
629	0.0481521483
630	0.04813250195
631	0.0481179787
632	0.0481075169
633	0.04809278444
634	0.04808673194
635	0.04807499131
636	0.04805189175
637	0.0480444391
638	0.0480318034
639	0.04802328299
640	0.04801387132
641	0.04799994227
642	0.04798951371
643	0.04797448366
644	0.04794829229
645	0.04793406312
646	0.04792482254
647	0.04791172738
648	0.04789831829
649	0.04788978001
650	0.04788137177
651	0.04787003788
652	0.04785390962
653	0.0478428102
654	0.04783730539
655	0.04782471108
656	0.04781517089
657	0.04780240279
658	0.04779078708
659	0.04778304551
660	0.0477716633
661	0.04776592027
662	0.04775574174
663	0.04774132793
664	0.04772767403
665	0.04771924177
666	0.04770948732
667	0.0477026899
668	0.04768986775
669	0.04767788595
670	0.04765346357
671	0.04763038203
672	0.04762154282
673	0.04761428493
674	0.04760982635
675	0.04759710872
676	0.04757964282
677	0.04757506418
678	0.0475691903
679	0.04755831774
680	0.04755025225
681	0.04754372748
682	0.04753367191
683	0.04750713769
684	0.04749490524
685	0.04748156153
686	0.0474753615
687	0.04745020931
688	0.04744290173
689	0.04742919372
690	0.04742201674
691	0.04741342613
692	0.04740706663
693	0.04738351841
694	0.04736854224
695	0.04736267593
696	0.04735780046
697	0.04734818702
698	0.04734101241
699	0.04733184796
700	0.04732605733
701	0.04731772885
702	0.04730825835
703	0.04729501094
704	0.04727859291
705	0.04726759037
706	0.04725484182
707	0.04724794532
708	0.04723570621
709	0.04722534193
710	0.04721664446
711	0.04721086898
712	0.04720137404
713	0.04719467026
714	0.04718316984
715	0.04717685981
716	0.04716594216
717	0.04714652162
718	0.04713250804
719	0.04712401637
720	0.04711363518
721	0.04710376986
722	0.04709640703
723	0.04708954761
724	0.0470814912
725	0.04707324635
726	0.04706465061
727	0.04705010291
728	0.04704523387
729	0.04703498503
730	0.04702632016
731	0.04701590341
732	0.04701035875
733	0.04700347878
734	0.04699769817
735	0.04698325241
736	0.04696936932
737	0.04696527073
738	0.04695358987
739	0.0469463989
740	0.04693492431
741	0.04691582028
742	0.04691198549
743	0.0469051544
744	0.04690008368
745	0.04688209118
746	0.04686926718
747	0.0468622199
748	0.04684795082
749	0.04683882804
750	0.04683234634
751	0.04682734167
752	0.04681646022
753	0.04680967729
754	0.04680627132
755	0.04679011487
756	0.0467859966
757	0.04677972874
758	0.04677124955
759	0.04676599444
760	0.04675008328
761	0.0467409526
762	0.04673108455
763	0.04672325321
764	0.04671674747
765	0.04671006118
766	0.04670661885
767	0.04669901248
768	0.04669384021
769	0.04668985022
770	0.04668501894
771	0.04667578587
772	0.04666235756
773	0.04665342221
774	0.04664748569
775	0.04663936675
776	0.04662777987
777	0.04661974951
778	0.04661345158
779	0.04660861599
780	0.04660471503
781	0.04660030188
782	0.04658899065
783	0.0465836049
784	0.04657918291
785	0.04656685877
786	0.0465634785
787	0.0465561597
788	0.04654784996
789	0.04653817325
790	0.04652322752
791	0.04652008549
792	0.04651427942
793	0.04650179279
794	0.04649141215
795	0.04648493255
796	0.0464715077
797	0.04646887162
798	0.04646231279
799	0.04645515284
800	0.04644805685
801	0.04644520745
802	0.04643534041
803	0.04642904861
804	0.04642042144
805	0.04641191265
806	0.04640663463
807	0.04639856052
808	0.04639094694
809	0.04638309526
810	0.04637888638
811	0.04637440007
812	0.04637131927
813	0.04636684791
814	0.04636344878
815	0.04635615469
816	0.04635124662
817	0.04634028617
818	0.04632782627
819	0.04631418079
820	0.04630674298
821	0.04629996147
822	0.04629229353
823	0.04628526544
824	0.04627674384
825	0.04626882275
826	0.04626060409
827	0.04625500038
828	0.04624212344
829	0.04623723838
830	0.04623283743
831	0.04622848823
832	0.04621968987
833	0.04620548998
834	0.04619816642
835	0.04619411295
836	0.04619000192
837	0.0461841968
838	0.04617625584
839	0.04617345505
840	0.04616549476
841	0.04615944673
842	0.04615285743
843	0.04614758743
844	0.04614179454
845	0.04613917254
846	0.04613070681
847	0.04611860759
848	0.04611084922
849	0.04610411194
850	0.04609652825
851	0.04608454403
852	0.04607807627
853	0.04606718023
854	0.04606287343
855	0.04605112726
856	0.04604223677
857	0.04603351992
858	0.04602238548
859	0.04601396625
860	0.04600688184
861	0.04600137957
862	0.04599659666
863	0.04599147412
864	0.0459833487
865	0.04597257398
866	0.04596093299
867	0.04595446482
868	0.04594733063
869	0.04593822454
870	0.04593252663
871	0.04592727636
872	0.04592046958
873	0.04591551151
874	0.04590397282
875	0.04589638345
876	0.04588992463
877	0.04588443269
878	0.04587680999
879	0.04587156553
880	0.045867126
881	0.04586105882
882	0.04585728996
883	0.0458525088
884	0.04584587853
885	0.04584238976
886	0.04583448022
887	0.04582820679
888	0.04582192176
889	0.04580546275
890	0.04579813147
891	0.04579060712
892	0.04578449533
893	0.04577902208
894	0.04577240786
895	0.04576824837
896	0.04576430462
897	0.0457535642
898	0.04575050925
899	0.04574484986
900	0.04574305933
901	0.04573919098
902	0.04573493353
903	0.04572929925
904	0.04572649051
905	0.04572075674
906	0.0457123802
907	0.04570372485
908	0.04569604492
909	0.04569104958
910	0.04567881105
911	0.04567284558
912	0.04566577859
913	0.04565835889
914	0.04564932263
915	0.0456428252
916	0.04563392721
917	0.04562938679
918	0.0456253365
919	0.0456213579
920	0.04561671331
921	0.04561162448
922	0.04560599011
923	0.04560114271
924	0.04559409491
925	0.04558946683
926	0.04558446179
927	0.04558149475
928	0.04557515425
929	0.04556625272
930	0.04555871813
931	0.04555632884
932	0.04555271232
933	0.04554676317
934	0.04553162757
935	0.04552821238
936	0.04552469517
937	0.0455203578
938	0.04551563589
939	0.0455121821
940	0.04550706347
941	0.04550456872
942	0.04549992503
943	0.0454939145
944	0.0454905763
945	0.04548402343
946	0.04547406791
947	0.04546835002
948	0.04546414837
949	0.04545910617
950	0.04545305396
951	0.04544968135
952	0.0454474619
953	0.04544235682
954	0.04543627326
955	0.04543388256
956	0.04543115604
957	0.0454283178
958	0.04542424508
959	0.04541724642
960	0.04541368969
961	0.04540377611
962	0.04539909655
963	0.04539583925
964	0.04539238338
965	0.04538591346
966	0.04538280912
967	0.04537650303
968	0.04537197433
969	0.04536806255
970	0.04536091926
971	0.04535208149
972	0.04534600602
973	0.04534242269
974	0.04533757537
975	0.04533299649
976	0.04532751219
977	0.04532207505
978	0.04531651748
979	0.04531101903
980	0.04530541075
981	0.04529851996
982	0.04529383867
983	0.04529074299
984	0.04528670567
985	0.04528206584
986	0.04527788276
987	0.0452744498
988	0.04526952292
989	0.04526434781
990	0.04525891871
991	0.04525579896
992	0.04525349339
993	0.04525000827
994	0.04524627106
995	0.04523902616
996	0.04523626934
997	0.04523034243
998	0.04522356876
999	0.04522052977
